name	description	function	returns	argument	type	details
ee.Terrain.hillShadow	Creates a shadow band, with output 1 where pixels are illumunated and 0 where they are shadowed. Takes as input an elevation band, azimuth and zenith of the light source in degrees, a neighborhood size, and whether or not to apply hysteresis when a shadow appears. Currently, this algorithm only works for Mercator projections, in which light rays are parallel.	ee.Terrain.hillShadow(image, azimuth, zenith, neighborhoodSize, hysteresis)	Image	image|azimuth|zenith|neighborhoodSize|hysteresis	Image|Float|Float|Integer, default: 0|Boolean, default: false	The image to which to apply the shadow algorithm, in whicheach pixel should represent an elevation in meters.|Azimuth in degrees.|Zenith in degrees.|Neighborhood size.|Use hysteresis. Less physically accurate, but may generate better images.
ee.Terrain.hillshade	Computes a simple hillshade from a DEM.	ee.Terrain.hillshade(input, azimuth, elevation)	Image	input|azimuth|elevation	Image|Float, default: 270|Float, default: 45	An elevation image, in meters.|The illumination azimuth in degrees from north.|The illumination elevation in degrees.
ee.Terrain.products	Calculates slope, aspect, and a simple hillshade from a terrain DEM.	ee.Terrain.products(input)	Image	input	Image	An elevation image, in meters.
ee.Terrain.slope	Calculates slope in degrees from a terrain DEM.	ee.Terrain.slope(input)	Image	input	Image	An elevation image, in meters.
ee.apply	Call a function with a dictionary of named arguments.	ee.apply(func, namedArgs)	ComputedObject	func|namedArgs	Function|String|Object	The function to call. Either an ee.Function object or the name of an API function.|A dictionary of arguments to the function.
ee.call	Call a function with the given positional arguments.	ee.call(func, var_args)	ComputedObject	func|var_args	Function|String|VarArgs	The function to call. Either an ee.Function object or the name of an API function.|Positional arguments to pass to the function.
ee.data.authenticateViaOauth	Configures client-side authentication of EE API calls through the Google APIs Client Library for JavaScript. The library will be loaded automatically if it is not already loaded on the page. The user will be asked to grant the application identified by clientId access to their EE data if they have not done so previously.	ee.data.authenticateViaOauth(clientId, success, error, extraScopes, onImmediateFailed)		clientId|success|error|extraScopes|onImmediateFailed	String|Function|Function, optional|List, optional|Function, optional	The application's OAuth client ID, or null to disable authenticated calls. This can be obtained through the Google Developers Console. The project must have a JavaScript origin that corresponds to the domain where the script is running.|The function to call if authentication succeeded.|The function to call if authentication failed, passed the error message. If authentication in immediate|(behind-the-scenes) mode fails and opt_onImmediateFailed is specified, that function is called instead of opt_error.|Extra OAuth scopes to request.|The function to call if automatic behind-the-scenes authentication fails. Defaults to ee.data.authenticateViaPopup(), bound to the passed callbacks.
ee.data.authenticateViaPopup	Shows a popup asking for the user's permission. Should only be called if ee.data.authenticate() called its opt_onImmediateFailed argument in the past.	ee.data.authenticateViaPopup(success, error)		success|error	Function, optional|Function, optional	The function to call if authentication succeeds.|The function to call if authentication fails, passing the error message.
ee.data.authenticateViaPrivateKey	Configures server-side authentication of EE API calls through the Google APIs Node.js Client. Private key authentication is strictly for server-side API calls: for browser-based applications, use ee.data.authenticateViaOauth(). No user interaction (e.g. authentication popup) is necessary when using server-side authentication.	ee.data.authenticateViaPrivateKey(privateKey, success, error, extraScopes)		privateKey|success|error|extraScopes	AuthPrivateKey|Function, optional|Function, optional|List, optional	JSON content of private key.|The function to call if authentication succeeded.|The function to call if authentication failed, passed the error message.|Extra OAuth scopes to request.
ee.data.computeValue	Sends a request to compute a value.	ee.data.computeValue(obj, callback)	Object|Value	obj|callback	Object|Function, optional	|
ee.data.copyAsset	Copies the asset from sourceId into destinationId.	ee.data.copyAsset(sourceId, destinationId, overwrite, callback)		sourceId|destinationId|overwrite|callback	String|String|Boolean, optional|Function, optional	The ID of the asset to copy.|The ID of the new asset created by copying.|Overwrite any existing destination asset ID.|An optional callback. If not supplied, the call is made synchronously. The callback is passed an empty object and an error message, if any.
ee.data.createAsset	"Creates an asset from a JSON value. To create an empty image collection or folder, pass in a ""value"" object with a ""type"" key whose value is one of ee.data.AssetType.* (i.e. ""ImageCollection"" or ""Folder"")."	ee.data.createAsset(value, path, force, properties, callback)	Object	value|path|force|properties|callback	Object|String|String, optional|Boolean, optional|Object, optional|Function, optional	An object describing the asset to create or a JSON string with the already-serialized value for the new asset.|An optional desired ID, including full path.|Force overwrite.|The keys and values of the properties to set|An optional callback. If not supplied, the call is made synchronously.
ee.data.createAssetHome	"Attempts to create a home root folder (e.g. ""users/joe"") for the current user. This results in an error if the user already has a home root folder or the requested ID is unavailable."	ee.data.createAssetHome(requestedId, callback)		requestedId|callback	String|Function, optional	"The requested ID of the home folder|(e.g. ""users/joe"").|An optional callback. If not supplied, the call is made synchronously."
ee.data.createFolder	Creates an asset folder.	ee.data.createFolder(path, force, callback)	Object	path|force|callback	String|Boolean, optional|Function, optional	The path of the folder to create.|Force overwrite.|An optional callback. If not supplied, the call is made synchronously.
ee.data.deleteAsset	Deletes the asset with the given id.	ee.data.deleteAsset(assetId, callback)		assetId|callback	String|Function, optional	The ID of the asset to delete.|An optional callback. If not supplied, the call is made synchronously. The callback is passed an empty object and an error message, if any.
ee.data.getAssetAcl	Returns the access control list of the asset with the given ID.	ee.data.getAssetAcl(assetId, callback)	AssetAcl	assetId|callback	String|Function, optional	The ID of the asset to check.|An optional callback. If not supplied, the call is made synchronously.
ee.data.getAssetRootQuota	Returns quota usage details for the asset root with the given ID.	ee.data.getAssetRootQuota(rootId, callback)	AssetQuotaDetails	rootId|callback	String|Function, optional	"The ID of the asset root to check, e.g. ""users/foo"".|An optional callback. If not supplied, the call is made synchronously."
ee.data.getAssetRoots	"Returns the list of the root folders the user owns. The ""id"" values for roots are two levels deep, e.g. ""users/johndoe"" not ""users/johndoe/notaroot""."	ee.data.getAssetRoots(callback)	List	callback	Function, optional	An optional callback. If not supplied, the call is made synchronously.
ee.data.getDownloadId	Get a Download ID.	ee.data.getDownloadId(params, callback)	DownloadId	params|callback	Object|Function, optional	An object containing download options with the following possible values:|  - image: The image to download.|  - name: a base name to use when constructing filenames.|  - bands: a description of the bands to download. Must be an array of dictionaries, each with the following keys:|    + id: the name of the band, a string, required.|    + crs: an optional CRS string defining the band projection.|    + crs_transform: an optional array of 6 numbers specifying an affine transform from the specified CRS, in row-major order:|[xScale, xShearing, xTranslation, yShearing, yScale, yTranslation]|    + dimensions: an optional array of two integers defining the width and height to which the band is cropped.|    + scale: an optional number, specifying the scale in meters of the band; ignored if crs and crs_transform is specified.|  - crs: a default CRS string to use for any bands that do not explicitly specify one.|  - crs_transform: a default affine transform to use for any bands that do not specify one, of the same format as the crs_transform of bands.|  - dimensions: default image cropping dimensions to use for any bands that do not specify them.|  - scale: a default scale to use for any bands that do not specify one; ignored if dimensions is specified.|  - region: a polygon specifying a region to download.|  - filePerBand: Whether to produce a different GeoTIFF per band (boolean). Defaults to true. If false, a single GeoTIFF is produced and all band-level transformations will be ignored.|  - id: deprecated, use image: ee.Image(id)|An optional callback. If not supplied, the call is made synchronously.
